Single Domain Error(us),10 domains (10 hops each) Error(us),100_converted(us)
2.076,-0.757,1.842
2.011,-0.862,-0.776
-0.357,0.877,-1.45
0.051,-3.289,-0.221
1.664,2.857,-1.165
-1.702,1.465,1.387
-0.837,-0.452,-0.285
-1.564,-1.411,0.532
2.093,-2.257,0.604
-1.972,0.661,0.078
1.725,-0.425,-1.366
-1.023,-0.656,-0.576
1.302,1.976,-0.497
0.457,-1.78,-0.775
-0.24,0.719,0.716
1.73,0.511,-1.064
1.357,0.197,1.291
-1.017,3.537,1.498
1.7,0.439,0.741
0.574,0.349,1.158
-0.388,-1.398,1.068
-0.193,1.165,-1.253
-2.127,-0.036,0.149
0.531,1.381,-1.069
1.566,-0.051,-0.346
-1.858,-0.723,-0.274
0.432,-0.111,0.513
2.202,-1.647,1.843
-0.028,-1.356,-1.245
1.271,-1.63,-0.807
0.886,-0.585,0.6
-1.266,0.984,0.35
0.08,0.054,2.274
0.297,0.421,-2.816
4.132,0.099,1.403
0.91,1.932,1.108
1.466,-0.062,-0.693
3.612,-0.002,1.002
2.928,-1.662,0.54
0.004,-0.636,0.918
0.773,0.786,0.572
-0.021,0.567,-1.134
0.552,0.406,-1.297
0.012,-1.539,0.103
-0.608,1.479,1.535
-0.215,-1.301,0.47
2.778,-3.071,-0.754
-0.008,-1.366,1.259
0.01,1.553,-0.764
-0.471,-0.788,-1.508
1.05,1.268,1.649
1.614,0.454,-0.73
1.101,-0.52,1.486
-0.819,1.19,2.022
-0.461,-0.87,0.091
1.661,1.621,1.731
-2.407,-0.674,0.691
-0.675,0.671,2.14
1.062,-3.871,1.25
-0.924,-1.861,0.713
-2.378,1.582,-0.017
0.054,-0.532,-0.888
-1.512,-0.888,0.032
2.22,1.905,0.933
-2.322,0.954,1.918
-1.807,-1.579,0.304
-0.098,1.395,-1.565
-0.069,-0.241,-1.014
0.929,1.078,1.276
-0.882,-0.75,0.361
1.69,0.692,-0.82
-1.227,-1.349,0.344
-2.271,0.064,-1.052
1.979,1.572,-1.261
-0.386,1.155,-0.48
1.043,1.247,0.773
0.242,0.02,-2.076
1.485,3.179,0.645
0.654,-1.786,-1.102
2.871,-0.947,-1.139
-1.249,-0.121,-0.75
1.633,-0.865,-0.515
0.293,-0.495,-1.657
0.784,-1.135,0.399
0.338,0.743,-0.414
-1.55,-0.644,-0.531
0.537,-0.702,-1.71
1.038,-0.03,-1.131
-0.131,1.753,1.311
2.491,-0.026,-2.023
1.856,0.39,-1.363
1.708,0.941,-1.338
-0.325,-1.285,-2.297
0.204,-1.84,1.704
1.287,3.077,-0.854
2.071,2.959,0.201
0.918,0.638,0.305
3.212,-1.479,-0.946
1.699,0.655,-0.812
0.134,2.49,-0.979
0.092,-2.114,-1.728
1.722,-1.395,0.609
0.054,-0.847,-0.43
0.551,-2.248,-0.739
0.917,-2.11,0.491
3.019,-0.964,-1.078
2.279,0.353,-1.808
1.275,0.273,0.365
-1.273,-0.147,1.205
-2.188,0.786,-0.196
-2.666,2.337,-1.177
-0.289,-2.322,-1.06
-0.762,1.149,0.567
0.016,-1.255,-1.287
1.449,-0.459,-1.342
-0.65,-3.949,-1.836
-2.32,1.676,0.013
-0.697,0.284,-1.12
-2.243,0.621,1.296
-1.087,1.943,1.135
-0.975,-0.753,-2.018
2.064,0.523,1.883
-0.081,-3.119,0.206
0.742,0.683,0.451
-2.347,1.053,-0.665
-0.756,0.792,1.726
2.049,-0.362,0.473
-0.488,1.934,1.739
0.382,0.711,-0.532
-0.4,0.493,1.476
0.712,-0.503,-1.975
2.922,-0.246,-1.288
0.426,-0.174,-0.786
0.543,0.552,-0.333
0.593,3.522,-1.385
-1.175,-2.268,-1.221
0.055,0.436,2.167
-1.948,-0.872,1.628
0.287,-0.414,0.396
0.154,2.143,-1.482
-0.819,-2.177,-0.739
-0.436,-0.746,-1.73
-1.643,-1.158,0.95
0.735,0.132,0.909
0.883,0.132,-0.062
-1.345,0.073,-1.38
-1.02,2.498,-0.829
-1.109,0.379,-0.178
1.852,0.477,-1.529
-3.118,-1.7,2.309
0.453,0.405,0.96
-0.185,-0.589,1.347
2.547,-2.245,-1.629
0.349,-1.684,-1.24
-2.95,-0.889,1.446
1.586,-0.442,-1.109
1.249,0.506,0.829
1.897,0.303,-1.255
-1.194,0.461,-1.029
0.141,1.944,0.806
0.48,2.381,2.067
0.863,1.047,0.895
-0.019,2.766,0.827
3.266,-1.809,2.561
1.761,-0.781,0.828
0.187,1.595,0.165
-2.069,-0.925,1.2
-0.623,-2.112,-0.906
0.248,2.564,1.479
1.38,-2.611,-1.579
2.736,-0.428,1.75
0.12,-0.711,-0.814
-0.822,-3.126,0.094
3.117,1.8,1.962
2.672,-1.116,1.593
0.935,1.322,-0.984
0.679,0.414,-0.539
-0.491,-0.669,-1.243
0.643,-0.198,-0.3
1.623,-0.868,-0.781
0.389,2.101,-0.334
1.538,-2.007,-1.131
0.219,-1.262,0.371
0.426,-0.103,-2.311
2.937,0.711,-0.886
1.569,-1.009,1.175
-0.748,-1.648,2.135
2.185,-0.573,-0.22
-1.303,0.419,-0.743
-0.933,-0.534,0.916
1.436,-0.46,0.025
-0.297,-0.226,-1.314
-1.324,0.488,1.354
-1.353,1.122,1.393
-0.886,-0.988,1.415
0.836,1.613,-1.198
1.515,-0.755,0.955
-1.506,-0.664,-0.73
-0.356,-0.654,-0.359
-0.963,1.255,1.675
-2.8,0.852,-0.692
-1.669,0.448,0.583
-0.803,-0.832,-0.505
-0.329,1.287,-1.313
-2.007,0.457,-1.446
-1.059,-0.302,1.555
-2.261,1.382,0.393
1.399,1.336,1.151
0.622,0.963,0.811
-2.954,-0.526,1.25
-2.454,0.796,0.663
-0.049,1.543,1.388
0.198,0.134,-1.054
1.838,-0.993,-0.539
-0.415,-0.638,1.335
-0.631,-1.124,-1.774
-0.638,-1.048,0.949
1.528,-0.087,1.857
-1.387,0.332,0.826
-0.432,1.766,0.499
-0.979,-0.083,-0.151
-1.44,0.611,-0.688
1.137,-0.91,0.589
-2.83,-2.25,-1.007
3.135,0.715,-1.455
-0.089,1.553,0.045
1.346,-0.885,-0.895
-1.686,-2.17,-0.293
-1.792,1.74,-1.963
0.386,-5.346,-1.798
-0.296,0.425,1.655
2.001,0.366,1.223
-1.908,0.897,0.701
-2.779,0.683,0.268
0.684,0.115,0.961
1.095,1.197,1.494
-1.08,0.377,0.392
-1.077,4.337,-1.016
0.859,-0.973,1.24
0.433,-0.886,0.971
1.503,-0.539,-1.243
0.339,0.118,-1.206
-1.849,0.777,-1.557
-0.426,-0.195,2.124
-1.873,0.68,0.501
1.677,0.861,-1.464
0.904,1.066,-0.866
-0.648,-0.937,0.671
1.841,1.29,0.83
-1.284,-0.204,0.296
1.748,0.613,1.269
-0.888,0.481,0.239
-0.899,0.434,-1.471
-2.188,1.04,0.946
-1.945,0.417,-2.013
1.314,0.587,-1.222
1.557,0.886,0.293
1.48,-2.157,0.746
0.782,-0.288,0.314
-0.311,0.513,0.227
-2.422,-0.018,-1.552
1.219,-2.377,-1.423
0.589,-0.77,-0.808
3.005,-0.901,-1.225
-0.873,0.311,-1.285
0.834,-1.75,-0.275
1.247,1.3,1.408
-1.05,1.019,-0.787
0.684,-1.781,0.684
1.848,-0.262,0.909
-0.435,0.837,1.134
1.223,0.998,-0.469
-2.152,0.095,0.461
1.035,-0.076,0.749
0.093,1.681,2.149
-1.569,-1.597,1.223
-1.302,-0.997,-1.679
0.614,0.293,0.929
-0.035,-0.213,0.929
-2.287,2.049,1.572
1.176,-1.573,0.451
-0.146,-0.112,-1.259
0.284,1.231,-0.994
1.968,0.888,-0.601
-0.878,-0.765,-1.194
-0.943,-0.932,-1.983
-0.078,2.39,1.051
-2.492,-2.665,0.598
1.936,0.664,0.926
-0.535,1.783,1.387
-0.635,-0.893,-1.263
0.198,-1.222,-1.591
0.797,-2.715,0.944
1.308,-0.29,-1.063
1.338,0.75,0.334
0.562,-0.547,-0.538
-1.746,-0.689,0.714
1.348,-1.29,-0.838
-1.813,-0.022,0.324
0.757,0.544,-1.182
2.08,-0.171,-0.592
-0.632,0.627,0.369
-0.05,0.086,-1.343
0.107,0.462,-0.49
0.11,-0.21,-0.58
-1.098,0.475,0.368
0.046,-1.642,-0.999
-1.171,2.272,1.056
-0.277,1.747,0.546
-1.876,1.451,-0.616
0.741,0.999,1.507
1.157,1.245,0.507
-0.213,-0.858,-1.658
-1.877,0.229,-0.538
-0.495,2.059,-0.885
0.454,1.477,0.054
0.658,-2.899,-0.618
-0.531,-0.373,-0.456
-0.156,-1.491,0.966
0.069,1.294,-1.2
2.078,-0.298,1.484
0.808,-1.771,-0.719
0.504,1.577,-0.779
-1.744,1.179,-1.181
-1.787,-0.353,-1.435
1.23,1.894,0.423
0.682,0.496,-1.914
-1.083,2.269,1.089
-0.714,-0.833,-1.829
0.306,-0.366,0.656
0.004,0.677,-0.092
-0.922,2.45,2.09
-1.979,0.967,0.151
-1.058,0.538,-0.874
-2.459,-0.552,-1.628
0.669,-0.241,-0.626
0.092,1.31,1.175
-1.074,2.551,-0.503
0.306,-0.102,1.918
0.069,0.961,0.593
-0.748,-1.504,-0.819
0.169,0.906,1.545
-0.481,-2.342,0.87
0.941,-0.097,-1.3
-0.891,2.959,0.811
-2.451,0.72,0.981
-1.487,1.836,-0.904
-2.622,-0.402,0.743
-2.894,1.638,-1.183
0.902,2.809,-2.131
1.182,-0.724,-0.571
1.361,0.148,-1.499
2.552,-1.041,0.223
0.029,-0.821,-1.122
0.27,-3.121,0.464
0.247,0.473,-1.102
-1.44,0.068,-0.242
-0.787,-1.827,0.532
0.016,0.343,-0.279
-1.895,-1.476,1.337
-1.079,-0.493,-0.824
-1.53,2.761,1.363
1.602,-0.444,-0.942
0.219,0.608,-1.162
1.657,-1.636,0.8
-3.796,-0.99,0.882
0.511,0.704,-0.022
0.173,3.606,0.41
-0.902,2.466,-1.407
0.32,0.281,-0.31
0.011,-0.29,-0.973
0.047,-1.85,-0.397
-0.338,-1.588,0.103
0.707,-1.912,-1.02
-0.211,0.768,-0.624
2.345,0.557,1.087
0.234,1.522,-0.08
-0.734,0.016,0.839
0.433,1.361,1.529
-0.838,-1.739,-0.394
1.3,-0.885,-0.222
-1.242,1.203,-0.231
-1.269,2.026,-0.55
-0.56,-0.999,0.572
1.369,-1.014,-0.569
-3.179,0.109,-2.137
1.795,0.499,1.055
1.451,-0.554,0.524
-1.089,-0.256,-1.113
-1.413,2.538,-1.294
-2.909,0.857,-0.939
-1.95,-1.453,1.544
2.083,-0.194,-1.356
-0.238,2.976,2.01
-1.537,-0.331,-1.534
0.514,-1.643,-1.444
0.482,0.61,1.207
-0.511,1.122,-0.516
0.897,3.099,-0.445
-2.693,-1.419,-1.273
-0.033,1.232,1.269
0.49,-0.509,-0.55
-0.226,0.427,-0.966
-1.019,0.557,-1.204
-1.565,-0.359,0.091
0.002,1.57,-0.331
2.798,1.606,-0.359
-1.285,0.54,-0.462
-0.032,-0.473,-1.33
-1.17,0.402,1.074
2.542,-0.413,-0.627
-0.862,1.471,1.018
1.266,-1.594,0.722
-1.116,0.8,-0.915
0.363,1.804,-0.314
0.236,1.281,-0.113
-0.475,-3.113,-1.139
-0.346,-0.383,-0.655
-1.138,-0.816,-1.451
3.336,-0.119,1.008
0.278,-0.321,-1.156
-1.06,-1.899,0.599
1.934,1.548,1.122
-0.107,1.013,-0.81
0.005,-0.334,-0.994
0.565,-1.601,1.223
-1.977,1.298,1.629
1.517,-0.855,-0.902
-0.334,-0.154,0.408
-2.543,1.49,0.907
1.664,0.922,-0.757
1.531,0.474,0.074
-0.2,-1.612,1.881
1.16,-0.466,-0.979
-1.571,-1.562,1.199
0.622,-0.226,0.392
0.393,-2.382,-0.653
-2.009,0.236,1.62
-2.568,-0.475,2.061
0.878,0.346,1.236
1.956,-0.23,-1.409
2.472,2.461,-1.176
-2.224,0.67,-1.445
1.198,-1.526,-1.218
-0.972,0.783,-0.047
-1.663,1.52,0.658
2.145,1.292,-2.158
1.304,-0.148,0.127
-0.175,-0.334,1.308
2.405,1.824,0.617
1.183,0.048,-1.485
0.683,-0.249,-0.749
0.183,-1.288,-0.651
-0.012,-1.475,2.649
-0.304,0.576,0.994
0.308,-0.924,2.136
0.05,0.323,-0.838
-2.814,-0.187,-0.55
0.092,1.422,-0.275
1.337,1.898,-0.992
1.063,0.321,-1.925
-1.182,-1.271,0.658
-1.386,2.047,-0.683
0.306,1.237,1.582
-1.392,0.042,1.816
-0.561,1.647,1.27
2.116,2.701,1.994
0.916,-1.035,-1.542
1.499,-0.595,-1.459
0.972,-1.988,1.026
-0.393,0.832,-0.358
-2.22,1.803,1.427
1.33,-0.259,-0.617
-0.305,-0.024,-0.78
0.88,-0.951,-1.424
0.455,-0.921,-2.026
-0.225,1.733,-0.719
-1.114,0.539,-1.798
-0.564,-1.152,-0.99
2.058,-1.561,0.196
2.559,1.623,-0.771
-0.804,0.586,-0.837
-1.735,-1.737,-0.549
0.358,0.454,0.1
